,model,steps,lengths,ppls,n
95,bigs-large,2,"(96, 128)",146.3024145173056,1172
96,bigs-large-scratch,512,"(0, 32)",53.671225293580044,1280
97,bigs-large-scratch,512,"(32, 64)",50.2327150028125,1280
98,bigs-large-scratch,512,"(64, 96)",57.70509869905988,1280
99,bigs-large-scratch,512,"(96, 128)",51.93920798381516,1172
100,bigs-large-scratch,128,"(0, 32)",55.204001541654605,1280
101,bigs-large-scratch,128,"(32, 64)",51.56913359806471,1280
102,bigs-large-scratch,128,"(64, 96)",58.63302605622286,1280
103,bigs-large-scratch,128,"(96, 128)",52.924044615881705,1172
104,bigs-large-scratch,64,"(0, 32)",56.86914277123379,1280
105,bigs-large-scratch,64,"(32, 64)",52.884426077154544,1280
106,bigs-large-scratch,64,"(64, 96)",59.996541484763725,1280
107,bigs-large-scratch,64,"(96, 128)",54.12623161722043,1172
108,bigs-large-scratch,16,"(0, 32)",63.57723939364045,1280
109,bigs-large-scratch,16,"(32, 64)",61.52451954846324,1280
110,bigs-large-scratch,16,"(64, 96)",69.14521896830591,1280
111,bigs-large-scratch,16,"(96, 128)",62.59959474238556,1172
112,bigs-large-scratch,8,"(0, 32)",76.82248888132567,1280
113,bigs-large-scratch,8,"(32, 64)",74.09004384894938,1280
114,bigs-large-scratch,8,"(64, 96)",84.94356014559399,1280
115,bigs-large-scratch,8,"(96, 128)",75.79801243083391,1172
116,bigs-large-scratch,2,"(0, 32)",228.49683736492767,1280
117,bigs-large-scratch,2,"(32, 64)",233.22785094186528,1280
118,bigs-large-scratch,2,"(64, 96)",274.492242571102,1280
119,bigs-large-scratch,2,"(96, 128)",253.98999199671593,1172
